word,colour,stim_condition,correct_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instruction.started,instr.started,instruction.stopped,trial.started,fixation.started,fixation.stopped,key_resp.started,text.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,thanks.started,text_2.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.017886799992993474,0.03977659999509342,1.007926199992653,,,,,,,,,,,,,,633435,001,2024-08-16_11h33.01.060,untitled,2024.1.5,None,2024-08-16 11h33.06.757932 +0530,
BLUE,blue,C,b,0,0,0,0,1.050956799997948,,,,,1.029563699994469,1.050956799997948,1.5084855000022799,1.5084855000022799,1.5084855000022799,2.419104700005846,b,1,0.8835984000179451,None,,,,633435,001,2024-08-16_11h33.01.060,untitled,2024.1.5,None,2024-08-16 11h33.06.757932 +0530,
BLUE,red,I,r,0,1,1,3,2.4413008999836165,,,,,2.4205989000038244,2.4413008999836165,2.9227106999896932,2.9227106999896932,2.9227106999896932,3.75780739999027,r,1,0.8201711000001524,None,,,,633435,001,2024-08-16_11h33.01.060,untitled,2024.1.5,None,2024-08-16 11h33.06.757932 +0530,
RED,red,C,r,0,2,2,1,3.782024999993155,,,,,3.7596145999850705,3.782024999993155,4.2720943999884184,4.2720943999884184,4.2720943999884184,4.93953249999322,r,1,0.6548767999920528,None,,,,633435,001,2024-08-16_11h33.01.060,untitled,2024.1.5,None,2024-08-16 11h33.06.757932 +0530,
RED,red,C,r,0,3,3,2,4.964328800007934,,,,,4.940614999999525,4.964328800007934,5.455799199989997,5.455799199989997,5.455799199989997,6.040128499997081,r,1,0.5776414000138175,None,,,,633435,001,2024-08-16_11h33.01.060,untitled,2024.1.5,None,2024-08-16 11h33.06.757932 +0530,
BLUE,red,I,r,1,0,4,3,6.063361899985466,,,,,6.0412246999912895,6.063361899985466,6.562801099993521,6.562801099993521,6.562801099993521,7.455994799995096,r,1,0.8818756999971811,None,,,,633435,001,2024-08-16_11h33.01.060,untitled,2024.1.5,None,2024-08-16 11h33.06.757932 +0530,
BLUE,blue,C,b,1,1,5,0,7.478958799998509,,,,,7.457103699998697,7.478958799998509,7.9685260000114795,7.9685260000114795,7.9685260000114795,8.571467500005383,b,1,0.5845796999929007,None,,,,633435,001,2024-08-16_11h33.01.060,untitled,2024.1.5,None,2024-08-16 11h33.06.757932 +0530,
RED,red,C,r,1,2,6,1,8.594288099993719,,,,,8.572552400000859,8.594288099993719,9.084688000002643,9.084688000002643,9.084688000002643,9.519201299990527,r,1,0.4319170000089798,None,,,,633435,001,2024-08-16_11h33.01.060,untitled,2024.1.5,None,2024-08-16 11h33.06.757932 +0530,
RED,red,C,r,1,3,7,2,9.543215799989412,,,,,9.520332999993116,9.543215799989412,10.033357000007527,10.033357000007527,10.033357000007527,10.418833800009452,r,1,0.38265350001165643,None,,,,633435,001,2024-08-16_11h33.01.060,untitled,2024.1.5,None,2024-08-16 11h33.06.757932 +0530,
RED,red,C,r,2,0,8,2,10.442703400010942,,,,,10.419989099988015,10.442703400010942,10.933348099992145,10.933348099992145,10.933348099992145,11.434859900007723,r,1,0.49499390000710264,None,,,,633435,001,2024-08-16_11h33.01.060,untitled,2024.1.5,None,2024-08-16 11h33.06.757932 +0530,
