stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,20.0,0.04103700000086974,,0.01689509999960137,0.04103700000086974,0.5503582000001188,0.5503582000001188,0.5730015999997704,0.8551554000005126,1.7560293000005913,left,-20.0,1,1,1.188023599999724,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
1,2,18.0,1.7644221000009566,,1.7563117000008788,1.7644221000009566,2.270935399999871,2.270935399999871,2.270935399999871,2.5701141000008647,2.8392143000000942,right,18.0,1,1,0.5535078000011708,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
2,2,16.0,2.8546724999996513,,2.839346900000237,2.8546724999996513,3.355292100000952,3.355292100000952,3.3699847999996564,3.6696415999995224,3.78913459999967,left,-16.0,1,1,0.4205762000001414,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
3,2,14.0,3.813035500001206,,3.7893127000006643,3.813035500001206,4.302879900000335,4.302879900000335,4.31873220000125,4.618362799999886,4.687992900000609,right,14.0,1,1,0.3804944000003161,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
4,1,12.0,4.702798399999665,,4.688128300000244,4.702798399999665,5.201487300000736,5.201487300000736,5.201487300000736,5.501648999999816,5.653463900000133,right,12.0,0,0,0.4407608000001346,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
5,1,13.0,5.66747100000066,,5.653598099999726,5.66747100000066,6.168539899999814,6.168539899999814,6.168539899999814,6.483975299999656,6.952197800001159,right,13.0,1,1,0.7793318000003637,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
6,1,13.0,6.96692240000084,,6.952385399999912,6.96692240000084,7.466967300000761,7.466967300000761,7.4822939000005135,7.781829900000957,7.950485000001208,right,13.0,1,1,0.46893249999993714,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
7,1,13.0,7.9664364000000205,,7.950613099999828,7.9664364000000205,8.448006800001167,8.448006800001167,8.481539300000804,8.748147000000245,8.933791499999643,right,13.0,1,1,0.4709597999990365,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
8,1,12.0,8.947611600000528,,8.933931200001098,8.947611600000528,9.44647040000018,9.44647040000018,9.44647040000018,9.747516999999789,9.868113300000914,left,-12.0,1,1,0.4177557999992132,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
9,1,12.0,9.890023199999632,,9.868277400000807,9.890023199999632,10.382912500001112,10.382912500001112,10.406678499999543,10.695437200000015,11.111834600000293,left,-12.0,1,1,0.7276228999999148,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
10,1,12.0,11.127830000001268,,11.111936000001151,11.127830000001268,11.626551600000312,11.626551600000312,11.641806200001156,11.94157720000112,12.227847899999688,left,-12.0,1,1,0.600169499999538,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
11,1,11.0,12.241103000000294,,12.227937100000418,12.241103000000294,12.740689199999906,12.740689199999906,12.740689199999906,13.040608600000269,13.293127799999638,right,11.0,1,1,0.5423646999988705,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
12,1,11.0,13.307001200000741,,13.293238399999609,13.307001200000741,13.794784900001105,13.794784900001105,13.80990810000003,14.109844300000987,14.296049800001128,left,-11.0,1,1,0.4978748000012274,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
13,1,11.0,14.318832900000416,,14.296180000001186,14.318832900000416,14.807062800000494,14.807062800000494,14.82245950000106,15.107202799999868,15.222564499999862,right,11.0,1,1,0.39993479999975534,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
14,1,10.0,15.23935259999962,,15.22263109999949,15.23935259999962,15.721431899999516,15.721431899999516,15.755688700000974,16.02126270000008,16.055364499999996,left,-10.0,1,1,0.3248486000011326,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
15,1,10.0,16.072438000001057,,16.05543680000119,16.072438000001057,16.554406500001278,16.554406500001278,16.587677200001053,16.855598199999804,17.005222100000537,right,10.0,1,1,0.4472339000003558,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
16,1,10.0,17.020042699999976,,17.005293500000334,17.020042699999976,17.50741150000067,17.50741150000067,17.524029100000917,17.824324400000478,17.958000900000116,left,-10.0,1,1,0.4342018999996071,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
17,1,9.0,17.97402570000122,,17.958138500000132,17.97402570000122,18.474204399999508,18.474204399999508,18.48961919999965,18.78809160000128,18.974986600000193,right,9.0,1,1,0.4882261999991897,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
18,1,9.0,18.99852920000012,,18.975148999999874,18.99852920000012,19.489305400000376,19.489305400000376,19.504681100001108,19.804770500000814,19.99104840000109,right,9.0,1,1,0.4949476000001596,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
19,1,9.0,20.01420540000072,,19.991202299999713,20.01420540000072,20.506591000001208,20.506591000001208,20.529841300000044,20.82061319999957,20.923601899999994,left,-9.0,1,1,0.41028390000064974,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
20,1,8.0,20.946550200000274,,20.92378699999972,20.946550200000274,21.437574999999924,21.437574999999924,21.452900899999804,21.752493300000424,22.42020709999997,left,-8.0,1,1,0.9796389999992243,659763,001,2024-09-12_21h33.42.024,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 21h33.47.693455 +0530,
