neg_words,math,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,Intro.started,Introduction.started,key_resp.started,Intro.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Words.started,key_resp_2.started,text.started,Words.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,DisTask.started,task.started,textbox.started,InstText.started,mouse.started,DisTask.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Recall.started,RecallTask.started,key_resp_3.started,Recall.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Testing.started,TestAns.started,Instr.started,mouse_2.started,Testing.stopped,TestAns.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0,0,0,0,,,,,,,,,,,,,0.006360700004734099,,0.0028440000023692846,0.006360700004734099,1.0116031999932602,1.3875689000124112,space,0.3531972999917343,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_11h04.00.731,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h04.11.222196 +0530,
lost,,,,,,0,0,0,4,,,,,,,,,1.4130975999869406,,,,,,,,,1.4007465000031516,1.4130975999869406,2.8934475000132807,5.409718300012173,left,3.9914611999993213,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_11h04.00.731,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h04.11.222196 +0530,
poison,,,,,,0,1,1,22,,,,,,,,,5.424046000000089,,,,,,,,,5.411054900003364,5.424046000000089,6.922624099999666,7.707828299986431,left,2.27763359999517,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_11h04.00.731,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h04.11.222196 +0530,
fear,,,,,,0,2,2,16,,,,,,,,,7.722090399998706,,,,,,,,,7.708675200003199,7.722090399998706,9.220392299990635,10.055526300013298,left,2.3187392999825533,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_11h04.00.731,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h04.11.222196 +0530,
insult,,,,,,0,3,3,18,,,,,,,,,10.069828100007726,,,,,,,,,10.056441599997925,10.069828100007726,11.568448500009254,12.35301530000288,left,2.2708611999987625,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_11h04.00.731,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h04.11.222196 +0530,
rape,,,,,,0,4,4,15,,,,,,,,,12.367446799995378,,,,,,,,,12.353845600009663,12.367446799995378,13.866311799996765,15.500270699994871,left,3.1236524999840185,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_11h04.00.731,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h04.11.222196 +0530,
grief,,,,,,0,5,5,21,,,,,,,,,15.514472700015176,,,,,,,,,15.50118379999185,15.514472700015176,17.013310300011653,17.79790320000029,left,2.2782395999820437,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_11h04.00.731,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h04.11.222196 +0530,
betray,,,,,,0,6,6,14,,,,,,,,,17.812483199988492,,,,,,,,,17.798751299997093,17.812483199988492,19.311268499994185,20.046325500006787,left,2.230126400012523,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_11h04.00.731,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h04.11.222196 +0530,
loser,,,,,,0,7,7,5,,,,,,,,,20.06030300000566,,,,,,,,,20.047317399992608,20.06030300000566,21.558888900006423,22.69380850001471,left,2.6303420000185724,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_11h04.00.731,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h04.11.222196 +0530,
crime,,,,,,0,8,8,11,,,,,,,,,22.70799910000642,,,,,,,,,22.69460089999484,22.70799910000642,24.20663619998959,24.82476350001525,left,2.1086332999984734,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_11h04.00.731,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h04.11.222196 +0530,
lie,,,,,,0,9,9,7,,,,,,,,,24.839400900003966,,,,,,,,,24.825714100006735,24.839400900003966,26.338321899995208,27.45611219998682,left,2.6067897000175435,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_11h04.00.731,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h04.11.222196 +0530,
rage,,,,,,0,10,10,9,,,,,,,,,27.47045339999022,,,,,,,,,27.456951500003925,27.47045339999022,28.96903169999132,29.587090499990154,left,2.110219700000016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_11h04.00.731,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h04.11.222196 +0530,
corpse,,,,,,0,11,11,17,,,,,,,,,29.601643000001786,,,,,,,,,29.58799060000456,29.601643000001786,31.100213800003985,31.785029199993005,left,2.168155299994396,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_11h04.00.731,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h04.11.222196 +0530,
ugly,,,,,,0,12,12,0,,,,,,,,,31.79948929999955,,,,,,,,,31.786076699994737,31.79948929999955,33.29792449998786,33.98244059999706,left,2.1674002000072505,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_11h04.00.731,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h04.11.222196 +0530,
thief,,,,,,0,13,13,19,,,,,,,,,33.99718320000102,,,,,,,,,33.98323149999487,33.99718320000102,35.49623240000801,36.53047689999221,left,2.530394899979001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_11h04.00.731,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h04.11.222196 +0530,
rotten,,,,,,0,14,14,8,,,,,,,,,36.54503810001188,,,,,,,,,36.53137010001228,36.54503810001188,38.04363790000207,38.84507559999474,left,2.296843299991451,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_11h04.00.731,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h04.11.222196 +0530,
burial,,,,,,0,15,15,23,,,,,,,,,38.85972420001053,,,,,,,,,38.84584399999585,38.85972420001053,40.358603600005154,41.22619210000266,left,2.3527482000063173,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_11h04.00.731,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h04.11.222196 +0530,
angry,,,,,,0,16,16,10,,,,,,,,,41.24056340000243,,,,,,,,,41.22701299999608,41.24056340000243,42.739284300012514,43.490444199997,left,2.2371463000017684,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_11h04.00.731,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h04.11.222196 +0530,
knife,,,,,,0,17,17,2,,,,,,,,,43.50522339998861,,,,,,,,,43.49121629999718,43.50522339998861,45.00401279999642,46.02184060000582,left,2.5126071000122465,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_11h04.00.731,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h04.11.222196 +0530,
