neut_words,math,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,Intro.started,Introduction.started,key_resp.started,Intro.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Words.started,key_resp_2.started,text.started,Words.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,DisTask.started,task.started,textbox.started,InstText.started,mouse.started,DisTask.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Recall.started,RecallTask.started,key_resp_3.started,Recall.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Test.started,TestAns.started,Instr.started,mouse_2.started,Test.stopped,TestAns.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0,0,0,0,,,,,,,,,,,,,0.010241900105029345,,0.005633499938994646,0.010241900105029345,1.0007114997133613,6.628636499866843,space,5.606955300085247,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,001,2024-11-29_23h09.08.747,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 23h09.24.290055 +0530,
fabric,,,,,,0,0,0,2,,,,,,,,,6.663179699797183,,,,,,,,,6.645593400113285,6.663179699797183,8.143711599987,9.378559600096196,left,2.7066723997704685,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,001,2024-11-29_23h09.08.747,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 23h09.24.290055 +0530,
salad,,,,,,0,1,1,11,,,,,,,,,9.392502899747342,,,,,,,,,9.37977429991588,9.392502899747342,10.891276000067592,11.57558810012415,left,2.1816577999852598,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,001,2024-11-29_23h09.08.747,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 23h09.24.290055 +0530,
rain,,,,,,0,2,2,23,,,,,,,,,11.590198599733412,,,,,,,,,11.576373300049454,11.590198599733412,13.088999699801207,13.789379499852657,left,2.185912400018424,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,001,2024-11-29_23h09.08.747,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 23h09.24.290055 +0530,
black,,,,,,0,3,3,7,,,,,,,,,13.805071100126952,,,,,,,,,13.789843900129199,13.805071100126952,15.303838399704546,16.555088799912483,right,2.7392478003166616,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,001,2024-11-29_23h09.08.747,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 23h09.24.290055 +0530,
phase,,,,,,0,4,4,21,,,,,,,,,16.569441500119865,,,,,,,,,16.556237599812448,16.569441500119865,18.068297499790788,19.419044299982488,left,2.8380395001731813,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,001,2024-11-29_23h09.08.747,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 23h09.24.290055 +0530,
flag,,,,,,0,5,5,9,,,,,,,,,19.433513099793345,,,,,,,,,19.419955600053072,19.433513099793345,20.93182749999687,22.083997400011867,right,2.64775410015136,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,001,2024-11-29_23h09.08.747,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 23h09.24.290055 +0530,
truck,,,,,,0,6,6,15,,,,,,,,,22.098050099797547,,,,,,,,,22.08482229989022,22.098050099797547,23.596297699958086,25.080337299965322,left,2.965515200048685,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,001,2024-11-29_23h09.08.747,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 23h09.24.290055 +0530,
paper,,,,,,0,7,7,16,,,,,,,,,25.09493299992755,,,,,,,,,25.08119439985603,25.09493299992755,26.59367260010913,27.061630299780518,left,1.9523101998493075,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,001,2024-11-29_23h09.08.747,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 23h09.24.290055 +0530,
nurse,,,,,,0,8,8,22,,,,,,,,,27.076093399897218,,,,,,,,,27.062502599786967,27.076093399897218,28.574689500033855,29.094786500092596,left,2.015483899973333,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,001,2024-11-29_23h09.08.747,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 23h09.24.290055 +0530,
