neut_words,math,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,Intro.started,Introduction.started,key_resp.started,Intro.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Words.started,key_resp_2.started,text.started,Words.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.stopped,DisTask.started,task.started,textbox.started,InstText.started,mouse.started,DisTask.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Recall.started,RecallTask.started,key_resp_3.started,Recall.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Test.started,TestAns.started,Instr.started,mouse_2.started,Test.stopped,TestAns.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0,0,0,0,,,,,,,,,,,,,0.009930100000929087,,0.005272599999443628,0.009930100000929087,1.0061085999986972,12.289075699998648,space,11.260150199996133,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2024-12-03_14h14.49.073,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-03 14h15.21.162352 +0530,
market,,,,,,0,0,0,18,,,,,,,,,12.3169640000051,,,,,,,,,12.302491499998723,12.3169640000051,13.794177600000694,14.945463900003233,left,2.621696800000791,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2024-12-03_14h14.49.073,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-03 14h15.21.162352 +0530,
jelly,,,,,,0,1,1,3,,,,,,,,,14.960400100004335,,,,,,,,,14.946664499999315,14.960400100004335,16.458279900005437,17.277087499998743,left,2.3145275999995647,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2024-12-03_14h14.49.073,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-03 14h15.21.162352 +0530,
rain,,,,,,0,2,2,23,,,,,,,,,17.290654800002812,,,,,,,,,17.27793930000189,17.290654800002812,18.78950270000496,19.806912200001534,right,2.5092339999973774,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2024-12-03_14h14.49.073,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-03 14h15.21.162352 +0530,
truck,,,,,,0,3,3,15,,,,,,,,,19.821686000002956,,,,,,,,,19.807693499999004,19.821686000002956,21.32040810000035,22.40410740000516,left,2.5672330999950645,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2024-12-03_14h14.49.073,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-03 14h15.21.162352 +0530,
nurse,,,,,,0,4,4,22,,,,,,,,,22.41947110000183,,,,,,,,,22.404986100002134,22.41947110000183,23.91794270000537,24.83707520000462,left,2.414815700001782,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2024-12-03_14h14.49.073,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-03 14h15.21.162352 +0530,
egg,,,,,,0,5,5,17,,,,,,,,,24.85014200000296,,,,,,,,,24.837910400005057,24.85014200000296,26.349118300000555,27.133897100000468,left,2.2784745000026305,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2024-12-03_14h14.49.073,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-03 14h15.21.162352 +0530,
coin,,,,,,0,6,6,13,,,,,,,,,27.14809830000013,,,,,,,,,27.134670200000983,27.14809830000013,28.646609100003843,33.3779641000001,left,6.222634500001732,None,31.660901200004446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2024-12-03_14h14.49.073,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-03 14h15.21.162352 +0530,
hay,,,,,,0,7,7,12,,,,,,,,,33.392182399999,,,,,,,,,33.378899100003764,33.392182399999,34.89083810000011,36.55810410000413,right,3.153198699998029,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2024-12-03_14h14.49.073,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-03 14h15.21.162352 +0530,
paper,,,,,,0,8,8,16,,,,,,,,,36.572665400002734,,,,,,,,,36.55898950000119,36.572665400002734,38.07132360000105,40.670969500002684,left,4.080928900002618,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2024-12-03_14h14.49.073,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-03 14h15.21.162352 +0530,
