neut_words,math,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,Intro.started,Introduction.started,key_resp.started,Intro.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Words.started,key_resp_2.started,text.started,text.stopped,Words.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,DisTask.started,task.started,textbox.started,InstText.started,mouse.started,DisTask.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Recall.started,RecallTask.started,key_resp_3.started,Recall.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Test.started,TestAns.started,Instr.started,mouse_2.started,Test.stopped,TestAns.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0,0,0,0,,,,,,,,,,,,,0.011860700004035607,,0.007835299998987466,0.011860700004035607,1.008571699989261,12.008870399993611,space,10.984805700019933,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
tool,,,,,,0,0,0,19,,,,,,,,,12.022239199985052,,,,,,,,,12.015445900004124,12.022239199985052,13.513388999999734,16.52736820001155,17.111127899988787,right,5.077339799987385,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
basket,,,,,,0,1,1,1,,,,,,,,,17.127035699988483,,,,,,,,,17.111699000000954,17.127035699988483,18.625493300001835,,19.608969099994283,right,2.4774250000191387,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
rain,,,,,,0,2,2,23,,,,,,,,,19.624394899990875,,,,,,,,,19.609439299994847,19.624394899990875,21.12327899999218,,22.52411940001184,right,2.8838507999898866,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
hat,,,,,,0,3,3,20,,,,,,,,,22.538420299999416,,,,,,,,,22.525169200001983,22.538420299999416,24.03728270001011,,24.986806500004604,right,2.4364100000238977,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
paper,,,,,,0,4,4,16,,,,,,,,,25.002541900001233,,,,,,,,,24.987174999987474,25.002541900001233,26.501074600004358,,27.151536299992586,right,2.1453123999817763,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
phase,,,,,,0,5,5,21,,,,,,,,,27.16724479998811,,,,,,,,,27.15211920000729,27.16724479998811,28.665854299993953,,29.466363199986517,right,2.2925125999900047,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
coin,,,,,,0,6,6,13,,,,,,,,,29.481859199993778,,,,,,,,,29.466808400000446,29.481859199993778,30.980681899993215,,31.931773799995426,right,2.439932499983115,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
trunk,,,,,,0,7,7,0,,,,,,,,,31.946165900008054,,,,,,,,,31.932650000002468,31.946165900008054,33.444935400009854,,34.479653199989116,right,2.525431199988816,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
lion,,,,,,0,8,8,4,,,,,,,,,34.493831900006626,,,,,,,,,34.48052660000394,34.493831900006626,35.99246859998675,,36.77706289998605,left,2.266953599988483,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
