stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,20.0,0.0422000999096781,,0.017849199939519167,0.0422000999096781,0.5518403998576105,0.5518403998576105,0.5750896998215467,0.8552015000022948,1.637085999827832,left,-20.0,1,1,0.9320825000759214,134211,001,2024-09-10_18h16.03.644,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 18h16.09.658444 +0530,
1,2,18.0,1.6495850998908281,,1.6373025998473167,1.6495850998908281,2.138614699942991,2.138614699942991,2.156561399810016,2.438088599825278,2.7403162999544293,left,-18.0,1,1,0.5990546999964863,134211,001,2024-09-10_18h16.03.644,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 18h16.09.658444 +0530,
2,2,16.0,2.7555393998045474,,2.740464999806136,2.7555393998045474,3.2552755000069737,3.2552755000069737,3.2709396998398006,3.5555516998283565,3.740040799835697,right,16.0,1,1,0.4734328000340611,134211,001,2024-09-10_18h16.03.644,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 18h16.09.658444 +0530,
3,2,14.0,3.753430699929595,,3.7401803999673575,3.753430699929595,4.252522399881855,4.252522399881855,4.252522399881855,4.552632699953392,4.70635429979302,left,-14.0,1,1,0.45171259995549917,134211,001,2024-09-10_18h16.03.644,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 18h16.09.658444 +0530,
4,2,12.0,4.730857299873605,,4.706575699849054,4.730857299873605,5.219586399849504,5.219586399849504,5.237163899932057,5.518543899990618,5.755175899947062,right,12.0,1,1,0.5268841998185962,134211,001,2024-09-10_18h16.03.644,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 18h16.09.658444 +0530,
5,2,10.0,5.770075399894267,,5.755322899902239,5.770075399894267,6.269176899921149,6.269176899921149,6.285942699993029,6.585206699790433,6.637679299805313,left,-10.0,1,1,0.35033789998851717,134211,001,2024-09-10_18h16.03.644,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 18h16.09.658444 +0530,
6,2,8.0,6.650957399979234,,6.637815099908039,6.650957399979234,7.151403700001538,7.151403700001538,7.151403700001538,7.450561699923128,7.536929199937731,left,-8.0,1,1,0.3660958001855761,134211,001,2024-09-10_18h16.03.644,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 18h16.09.658444 +0530,
7,2,6.0,7.550295299850404,,7.537072099978104,7.550295299850404,8.048924200003967,8.048924200003967,8.048924200003967,8.349910699995235,8.48449009982869,right,6.0,1,1,0.4303641999140382,134211,001,2024-09-10_18h16.03.644,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 18h16.09.658444 +0530,
8,2,4.0,8.500352900009602,,8.484624799806625,8.500352900009602,8.999842799967155,8.999842799967155,9.015421599848196,9.31542139989324,9.368583699921146,left,-4.0,1,1,0.34948750003241,134211,001,2024-09-10_18h16.03.644,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 18h16.09.658444 +0530,
9,2,2.0,9.381854299921542,,9.368760499870405,9.381854299921542,9.881385399959981,9.881385399959981,9.881385399959981,10.180871599819511,10.2674463998992,left,-2.0,1,1,0.37712029996328056,134211,001,2024-09-10_18h16.03.644,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 18h16.09.658444 +0530,
10,2,1.0,10.290873099816963,,10.267593499971554,10.290873099816963,10.781443799845874,10.781443799845874,10.797155799809843,11.096987099852413,11.216348699992523,left,-1.0,1,1,0.4322959999553859,134211,001,2024-09-10_18h16.03.644,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 18h16.09.658444 +0530,
11,1,1.0,11.230029399972409,,11.216503999894485,11.230029399972409,11.728878099936992,11.728878099936992,11.728878099936992,12.02935229986906,12.064391699852422,right,1.0,0,0,0.3224572998005897,134211,001,2024-09-10_18h16.03.644,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 18h16.09.658444 +0530,
12,1,2.0,12.080840499838814,,12.064533500000834,12.080840499838814,12.579808000009507,12.579808000009507,12.59533689985983,12.894864699803293,13.296708999900147,left,-2.0,1,1,0.7026533999014646,134211,001,2024-09-10_18h16.03.644,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 18h16.09.658444 +0530,
13,1,2.0,13.31281129992567,,13.296851099934429,13.31281129992567,13.812695699976757,13.812695699976757,13.828484899830073,14.127262299880385,14.279632199788466,right,2.0,1,1,0.45118460012599826,134211,001,2024-09-10_18h16.03.644,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 18h16.09.658444 +0530,
14,1,2.0,14.29344299994409,,14.279770499793813,14.29344299994409,14.793906199978665,14.793906199978665,14.793906199978665,15.09286560001783,15.280640400014818,right,2.0,1,1,0.4840385001152754,134211,001,2024-09-10_18h16.03.644,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 18h16.09.658444 +0530,
15,1,1.0,15.303479800000787,,15.280799499945715,15.303479800000787,15.793352199951187,15.793352199951187,15.808820799924433,16.108845099806786,16.427046899916604,left,-1.0,1,1,0.629818000132218,134211,001,2024-09-10_18h16.03.644,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 18h16.09.658444 +0530,
16,1,1.0,16.44339819997549,,16.42718319990672,16.44339819997549,16.94142879988067,16.94142879988067,16.959236899856478,17.2406342998147,17.34396560001187,left,-1.0,1,1,0.3972365998197347,134211,001,2024-09-10_18h16.03.644,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 18h16.09.658444 +0530,
17,0.5,1.0,17.36778249987401,,17.344159899977967,17.36778249987401,17.85807659989223,17.85807659989223,17.87464389996603,18.158251999877393,18.263442599913105,right,1.0,0,0,0.3935566998552531,134211,001,2024-09-10_18h16.03.644,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 18h16.09.658444 +0530,
18,0.5,1.5,18.283741799881682,,18.263599099824205,18.283741799881682,18.775372199947014,18.775372199947014,18.78994289995171,19.087864500004798,19.3245004999917,right,1.5,1,1,0.5473815000150353,134211,001,2024-09-10_18h16.03.644,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 18h16.09.658444 +0530,
19,0.5,1.5,19.33976549981162,,19.324633499840274,19.33976549981162,19.840339799877256,19.840339799877256,19.840339799877256,20.157879799837247,20.308316699927673,left,-1.5,1,1,0.4633392000105232,134211,001,2024-09-10_18h16.03.644,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 18h16.09.658444 +0530,
20,0.5,1.5,20.332089399918914,,20.30845409980975,20.332089399918914,20.822467799996957,20.822467799996957,20.837339099962264,21.13750429986976,21.356169399805367,right,1.5,1,1,0.5224764999002218,134211,001,2024-09-10_18h16.03.644,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 18h16.09.658444 +0530,
21,0.5,1.0,21.370533799985424,,21.356314899865538,21.370533799985424,21.87033830001019,21.87033830001019,21.87033830001019,22.169872500002384,22.488538099918514,left,-1.0,1,1,0.6138657000847161,134211,001,2024-09-10_18h16.03.644,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 18h16.09.658444 +0530,
22,0.5,1.0,22.502399099990726,,22.48867639992386,22.502399099990726,23.00246989983134,23.00246989983134,23.00246989983134,23.301978699862957,23.520679999841377,left,-1.0,1,1,0.5135803001467139,134211,001,2024-09-10_18h16.03.644,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 18h16.09.658444 +0530,
23,0.5,1.0,23.53530259989202,,23.52081559994258,23.53530259989202,24.035847899969667,24.035847899969667,24.035847899969667,24.33399339998141,24.368769699940458,right,1.0,0,0,0.3237354001030326,134211,001,2024-09-10_18h16.03.644,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 18h16.09.658444 +0530,
24,0.5,1.5,24.385994999902323,,24.36891119997017,24.385994999902323,24.86718689999543,24.86718689999543,24.91787299979478,25.16682959999889,25.353428999893367,right,1.5,1,1,0.4839151999913156,134211,001,2024-09-10_18h16.03.644,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 18h16.09.658444 +0530,
25,0.5,1.5,25.36700169998221,,25.35357609996572,25.36700169998221,25.867323299869895,25.867323299869895,25.867323299869895,26.1671138999518,26.23631910001859,right,1.5,1,1,0.367205300135538,134211,001,2024-09-10_18h16.03.644,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 18h16.09.658444 +0530,
26,0.5,1.5,26.26033809990622,,26.23647949984297,26.26033809990622,26.749894900014624,26.749894900014624,26.765474899904802,27.06509039993398,27.13311369996518,left,-1.5,1,1,0.3723615000490099,134211,001,2024-09-10_18h16.03.644,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 18h16.09.658444 +0530,
27,0.5,1.0,27.150272500002757,,27.133287800010294,27.150272500002757,27.64788750000298,27.64788750000298,27.66621719999239,27.947389399865642,28.049997499911115,left,-1.0,1,1,0.3952846999745816,134211,001,2024-09-10_18h16.03.644,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 18h16.09.658444 +0530,
28,0.5,1.0,28.065435800002888,,28.05022510001436,28.065435800002888,28.563487599836662,28.563487599836662,28.563487599836662,28.86345149995759,28.982980199856684,right,1.0,1,1,0.40498000010848045,134211,001,2024-09-10_18h16.03.644,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 18h16.09.658444 +0530,
29,0.5,1.0,28.996576000005007,,28.983118299860507,28.996576000005007,29.497667799936607,29.497667799936607,29.497667799936607,29.796182699967176,29.931811399990693,right,1.0,1,1,0.4246082999743521,134211,001,2024-09-10_18h16.03.644,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 18h16.09.658444 +0530,
30,0.5,1.0,29.947209199890494,,29.9319577999413,29.947209199890494,30.447259499924257,30.447259499924257,30.46213399991393,30.761593399802223,30.830795199843124,left,-1.0,1,1,0.378135500010103,134211,001,2024-09-10_18h16.03.644,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 18h16.09.658444 +0530,
