,tilt,key_resp.corr,,
1,20,1,,
2,-18,1,,
3,16,1,,1.1
4,14,1,,
5,-12,1,,
6,-10,1,,0.02
7,8,1,,
8,6,1,,
9,-4,1,,
10,-2,1,,
11,0.1,1,,
12,0.1,0,,
13,-1.1,1,,
14,-1.1,1,,
15,1.1,1,,
16,-0.1,0,,
17,-0.6,1,,
18,0.6,1,,
19,-0.6,1,,
20,0.1,0,,
21,0.6,1,,
22,0.6,0,,
23,1.1,1,,
24,-1.1,0,,
25,1.6,1,,
26,1.6,1,,
27,-1.6,0,,
28,2.1,1,,
29,-2.1,1,,
30,-2.1,1,,
31,-1.6,0,,
32,-2.1,1,,
33,2.1,1,,
34,-2.1,1,,
35,1.6,1,,
36,-1.6,1,,
37,1.6,1,,
38,-1.1,1,,
39,1.1,1,,
40,-1.1,1,,
41,0.6,1,,
42,0.6,1,,
43,0.6,1,,
44,0.1,1,,
45,-0.1,0,,
46,0.6,1,,
47,-0.6,1,,
48,0.6,1,,
49,-0.1,0,,
50,-0.6,0,,
51,1.1,0,,
52,1.6,1,,
53,1.6,1,,
54,1.6,1,,
55,1.1,1,,
56,1.1,1,,
57,1.1,1,,
58,0.6,0,,
59,1.1,1,,
60,1.1,1,,
61,-1.1,1,,
62,0.6,1,,
63,0.6,1,,
64,-0.6,1,,
65,-0.1,1,,
66,-0.1,1,,
67,0.1,1,,
68,0.1,0,,
69,-0.6,1,,
70,0.6,1,,
71,0.6,1,,
72,0.1,1,,
73,-0.1,0,,
74,0.6,1,,
75,-0.6,1,,
76,-0.6,1,,
77,0.1,1,,
78,-0.1,1,,
79,-0.1,1,,
80,0.1,1,,
81,-0.1,1,,
82,-0.1,1,,
83,-0.1,1,,
84,-0.1,1,,
85,-0.1,1,,
86,-0.1,0,,
87,-0.6,0,,
88,1.1,1,,
89,1.1,1,,
90,1.1,1,,
91,-0.6,1,,
92,0.6,1,,
93,-0.6,1,,
94,0.1,1,,
95,-0.1,1,,
96,-0.1,1,,
97,0.1,0,,
98,0.6,1,,
99,0.6,1,,
100,0.6,1,,
