tilt,key_resp.corr,,
20,1,,
-18,1,3.6,
-16,1,,5.4
14,1,,
12,1,,
10,1,,
8,1,,
-6,0,,
-7,1,,
-7,0,,
-8,1,,
-8,1,,
8,1,,
-7,1,,
-7,1,,
-7,1,,
-6,1,,
-6,1,,
-6,1,,
-5,1,,
5,1,,
-5,1,,
4,1,,
4,0,,
4.5,0,,
5,1,,
-5,1,,
5,1,,
-4.5,0,,
5,0,,
-5.5,1,,
-5.5,1,,
5.5,1,,
5,1,,
-5,0,,
5.5,0,,
-6,1,,
-6,1,,
6,1,,
5.5,1,,
5.5,1,,
5.5,1,,
5,1,,
5,1,,
5,1,,
4.5,1,,
-4.5,1,,
4.5,1,,
4,1,,
-4,1,,
-4,1,,
3.5,1,,
-3.5,1,,
3.5,1,,
3,0,,
3.5,0,,
4,1,,
-4,1,,
-4,0,,
4.5,1,,
-4.5,0,,
-5,1,,
-5,1,,
-5,1,,
4.5,1,,
4.5,0,,
-5,1,,
-5,1,,
5,1,,
-4.5,1,,
-4.5,1,,
-4.5,1,,
4,0,,
4.5,0,,
-5,1,,
-5,1,,
-5,1,,
-4.5,1,,
-4.5,1,,
4.5,1,,
-4,1,,
-4,1,,
-4,1,,
-3.5,1,,
-3.5,1,,
3.5,0,,
4,0,,
4.5,0,,
-5,0,,
-5.5,1,,
-5.5,1,,
-5.5,1,,
5,1,,
5,0,,
5.5,1,,
-5.5,0,,
-6,1,,
-6,1,,
6,1,,
-5.5,0,,
