stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,20.0,0.032907099928706884,,0.012981399893760681,0.032907099928706884,0.5289330000523478,0.5289330000523478,0.5489316999446601,0.8312266999855638,1.1519056998658925,left,-20.0,1,1,0.6089955000206828,795241,001,2024-09-10_22h52.12.944,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h52.17.257475 +0530,
1,2,18.0,1.1642253999598324,,1.1519843998830765,1.1642253999598324,1.6640212000347674,1.6640212000347674,1.6640212000347674,1.9636736998800188,2.1980248999316245,left,-18.0,1,1,0.5308652000967413,795241,001,2024-09-10_22h52.12.944,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h52.17.257475 +0530,
2,2,16.0,2.213824799982831,,2.1980850000400096,2.213824799982831,2.696191000053659,2.696191000053659,2.7137670000083745,2.9962295999284834,3.1477574000600725,right,16.0,1,1,0.4468368000816554,795241,001,2024-09-10_22h52.12.944,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h52.17.257475 +0530,
3,2,14.0,3.1624797000549734,,3.147815400036052,3.1624797000549734,3.6624411998782307,3.6624411998782307,3.6624411998782307,3.9622617000713944,4.314494099933654,right,14.0,1,1,0.6379978000186384,795241,001,2024-09-10_22h52.12.944,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h52.17.257475 +0530,
4,2,12.0,4.328845799900591,,4.314586699940264,4.328845799900591,4.82754009985365,4.82754009985365,4.82754009985365,5.1273223999887705,5.311818900052458,left,-12.0,1,1,0.4679348999634385,795241,001,2024-09-10_22h52.12.944,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h52.17.257475 +0530,
5,2,10.0,5.326843899907544,,5.3118769999127835,5.326843899907544,5.826866999967024,5.826866999967024,5.826866999967024,6.128995900042355,6.481424099998549,right,10.0,1,1,0.6424004000145942,795241,001,2024-09-10_22h52.12.944,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h52.17.257475 +0530,
6,1,8.0,6.495446600019932,,6.481632799841464,6.495446600019932,6.994821100030094,6.994821100030094,6.994821100030094,7.310295399976894,7.4602999000344425,left,-8.0,0,0,0.45075739989988506,795241,001,2024-09-10_22h52.12.944,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h52.17.257475 +0530,
7,1,9.0,7.476945000002161,,7.460394399939105,7.476945000002161,7.975301899947226,7.975301899947226,7.991111799841747,8.27426839992404,8.725069199921563,right,9.0,1,1,0.73512679990381,795241,001,2024-09-10_22h52.12.944,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h52.17.257475 +0530,
8,1,9.0,8.740437400061637,,8.7251315000467,8.740437400061637,9.23989939992316,9.23989939992316,9.23989939992316,9.539554399903864,9.940186999971047,right,9.0,1,1,0.6952681001275778,795241,001,2024-09-10_22h52.12.944,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h52.17.257475 +0530,
9,1,9.0,9.956886699888855,,9.940244300058112,9.956886699888855,10.438697299920022,10.438697299920022,10.471934200031683,10.739015799947083,10.939964999910444,right,9.0,1,1,0.4855883000418544,795241,001,2024-09-10_22h52.12.944,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h52.17.257475 +0530,
