tilt,key_resp.keys,key_resp.corr,,Hit,Miss,False Alarm,Correct Rejection,
-2,down,1,,,,,1,
0,up,1,,1,,,,
0,up,1,,1,,,,
-4,down,1,,,,,1,
0,down,0,,,,1,,
0,down,0,,,,1,,
-4,down,1,,,,,1,
0,up,1,,1,,,,
3,down,1,,,,,1,
0,down,0,,,,1,,
3,down,1,,,,,1,
-5,down,1,,,,,1,
0,down,0,,,,1,,
0,up,1,,1,,,,
0,down,0,,,1,,,
0,up,1,,1,,,,
0,down,0,,,1,,,
3,up,0,,,,1,,
0,down,0,,,1,,,
-4,down,1,,,,,1,
-2,down,1,,,,,1,
2,down,1,,,,,1,
3,down,1,,,,,1,
0,up,1,,1,,,,
0,up,1,,1,,,,
3,down,1,,,,,1,
-2,down,1,,,,,1,
0,down,0,,,1,,,
-2,down,1,,,,,1,
0,up,1,,1,,,,
-2,down,1,,,,,1,
4,down,1,,,,,1,
0,up,1,,1,,,,
3,up,0,,,1,,,
0,down,0,,,,1,,
0,down,0,,,,1,,
-2,down,1,,,,,1,
3,down,1,,,,,1,
0,up,1,,1,,,,
0,up,1,,1,,,,
0,up,1,,1,,,,
2,down,1,,,,,1,
0,up,1,,1,,,,
0,up,1,,1,,,,
0,up,1,,1,,,,
-3,down,1,,,,,1,
0,up,1,,1,,,,
0,up,1,,1,,,,
2,up,0,,,,1,,
-4,down,1,,,,,1,
1,up,0,,,,1,,
0,up,1,,1,,,,
0,up,1,,1,,,,
0,up,1,,1,,,,
-2,down,1,,,,,1,
0,up,1,,1,,,,
0,up,1,,1,,,,
-4,down,1,,,,,1,
0,up,1,,1,,,,
-5,down,1,,,,,1,
-3,down,1,,,,,1,
4,down,1,,,,,1,
0,up,1,,1,,,,
0,up,1,,1,,,,
0,up,1,,1,,,,
0,up,1,,1,,,,
-4,down,1,,,,,1,
1,up,0,,,,1,,
0,up,1,,1,,,,
0,up,1,,1,,,,
0,up,1,,1,,,,
0,up,1,,1,,,,
0,up,1,,1,,,,
0,up,1,,1,,,,
0,up,1,,1,,,,
0,up,1,,1,,,,
-5,down,1,,,,,1,
0,up,1,,1,,,,
0,up,1,,1,,,,
0,up,1,,1,,,,
-3,up,0,,,,1,,
-3,up,0,,,,1,,
0,down,0,,,1,,,
4,down,1,,,,,1,
0,down,0,,,,1,,
0,down,0,,,,1,,
-4,down,1,,,,,1,
0,up,1,,1,,,,
4,up,0,,,,1,,
0,up,1,,1,,,,
-2,down,1,,,,,1,
0,up,1,,1,,,,
-3,down,1,,,,,1,
0,up,1,,1,,,,
0,down,0,,,,1,,
0,up,1,,1,,,,
0,down,0,,,,1,,
0,up,1,,1,,,,
0,up,1,,1,,,,
0,up,1,,1,,,,
,,,,46,6,17,31,100
,,,,,,,,
,,,,,,,,
,,,,,Respond YES,Respond NO,,
,,,,Signal Present,46,6,,
,,,,Singal Absent,17,31,,
,,,,,,,,
,,,,prop hit ,0.884615385,,,
,,,,prop fa,0.354166667,,,
,,,,,,,,
,,,,,,,,
,,,,d-prime,1.572475113,,,
,,,,c,-1.385427407,,,
