trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.04836879996582866,,0.0083712000050582,5,0.04836879996582866,0.04836879996582866,0.0374430000083521,1.506668699963484,[-0.4287037037037037],[0.1712962962962963],[1],[0],[0],[1.468190100044012],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
1,0,1,0,1.5814546999754384,,1.5165809000027366,10,1.5814546999754384,1.5814546999754384,0.051473400031682104,3.0687539000064135,[0.16203703703703703],[0.287962962962963],[1],[0],[0],[1.502072400006],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
2,0,2,0,3.1212170000071637,,3.072872799995821,10,3.1212170000071637,3.1212170000071637,0.038451200001873076,4.916620899981353,[0.26851851851851855],[-0.13796296296296295],[1],[0],[0],[1.8056715999846347],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
3,0,3,0,4.955991099996027,,4.921046399977058,5,4.955991099996027,4.955991099996027,0.022654800035525113,6.4831713999737985,[-0.12777777777777777],[-0.28055555555555556],[1],[0],[0],[1.5395764000131749],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
4,0,4,0,6.535837100003846,,6.489223300013691,5,6.535837100003846,6.535837100003846,0.034089199965819716,7.76431009999942,[-0.1787037037037037],[-0.03796296296296296],[1],[0],[0],[1.2416770999552682],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
5,0,5,0,7.815435900003649,,7.770575699978508,5,7.815435900003649,7.815435900003649,0.032147100020665675,9.197069499990903,[0.1398148148148148],[0.08333333333333333],[1],[0],[0],[1.3950880999909714],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
6,0,6,0,9.236010799999349,,9.202422900008969,5,9.236010799999349,9.236010799999349,0.027233999979216605,11.078779599978589,[-0.19166666666666668],[0.5],[1],[0],[0],[1.8498210000107065],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
7,0,7,0,11.126286100014113,,11.08494679996511,5,11.126286100014113,11.126286100014113,0.03376459999708459,12.810092900006566,[0.46574074074074073],[-0.3388888888888889],[1],[0],[0],[1.6920428999583237],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
8,0,8,0,12.858845999988262,,12.816384800011292,5,12.858845999988262,12.858845999988262,0.03123819996835664,14.341949499968905,[-0.2388888888888889],[0.23796296296296296],[1],[0],[0],[1.4949469999992289],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
9,0,9,0,14.39213930000551,,14.348451900004875,5,14.39213930000551,14.39213930000551,0.031092300021555275,16.139688699971884,[-0.3277777777777778],[-0.28703703703703703],[1],[0],[0],[1.7608451000414789],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
