study_word,test,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,text.stopped,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
poster,,,,0,0,0,14,,,,,0.03829639998730272,,0.0073016000096686184,0.03829639998730272,0.03829639998730272,8.03770839999197,12.908178200013936,1.0185185185185186,12.873094799986575,,,,,,,,,,,,,,,03,001,2024-10-22_20h28.58.841,WordPrimingExperiment,2024.1.5,None,2024-10-22 20h29.22.041799 +0530,
laptop,,,,0,1,1,5,,,,,12.938853900006507,,12.910958599997684,12.938853900006507,12.938853900006507,,14.41578290000325,1.0185185185185186,1.479629000008572,,,,,,,,,,,,,,,03,001,2024-10-22_20h28.58.841,WordPrimingExperiment,2024.1.5,None,2024-10-22 20h29.22.041799 +0530,
cruise,,,,0,2,2,11,,,,,14.436269400001038,,14.416145700030029,14.436269400001038,14.436269400001038,,15.56677660002606,1.0185185185185186,1.1264635000261478,,,,,,,,,,,,,,,03,001,2024-10-22_20h28.58.841,WordPrimingExperiment,2024.1.5,None,2024-10-22 20h29.22.041799 +0530,
chart,,,,0,3,3,6,,,,,15.58274490002077,,15.567051300022285,15.58274490002077,15.58274490002077,,16.582547900034115,1.0185185185185186,0.9928109000320546,,,,,,,,,,,,,,,03,001,2024-10-22_20h28.58.841,WordPrimingExperiment,2024.1.5,None,2024-10-22 20h29.22.041799 +0530,
keys,,,,0,4,4,13,,,,,16.597685699991416,,16.58276780002052,16.597685699991416,16.597685699991416,,17.57566480000969,1.0185185185185186,0.9678266000119038,,,,,,,,,,,,,,,03,001,2024-10-22_20h28.58.841,WordPrimingExperiment,2024.1.5,None,2024-10-22 20h29.22.041799 +0530,
book,,,,0,5,5,0,,,,,17.600421999988612,,17.576274399994873,17.600421999988612,17.600421999988612,,22.343528800003696,1.0185185185185186,4.737739500007592,,,,,,,,,,,,,,,03,001,2024-10-22_20h28.58.841,WordPrimingExperiment,2024.1.5,None,2024-10-22 20h29.22.041799 +0530,
pastry,,,,0,6,6,9,,,,,22.363141300040297,,22.34374059998663,22.363141300040297,22.363141300040297,,23.693215400038753,1.0185185185185186,1.3276146000134759,,,,,,,,,,,,,,,03,001,2024-10-22_20h28.58.841,WordPrimingExperiment,2024.1.5,None,2024-10-22 20h29.22.041799 +0530,
police,,,,0,7,7,12,,,,,23.70616310002515,,23.693438499991316,23.70616310002515,23.70616310002515,,24.60913250001613,1.0185185185185186,0.8936893999925815,,,,,,,,,,,,,,,03,001,2024-10-22_20h28.58.841,WordPrimingExperiment,2024.1.5,None,2024-10-22 20h29.22.041799 +0530,
board,,,,0,8,8,4,,,,,24.62489859998459,,24.609351699997205,24.62489859998459,24.62489859998459,,25.585045800020453,1.0185185185185186,0.9563694999669679,,,,,,,,,,,,,,,03,001,2024-10-22_20h28.58.841,WordPrimingExperiment,2024.1.5,None,2024-10-22 20h29.22.041799 +0530,
cushion,,,,0,9,9,1,,,,,25.614962899999227,,25.586308000027202,25.614962899999227,25.614962899999227,,26.475757700041868,1.0185185185185186,0.8649624999961816,,,,,,,,,,,,,,,03,001,2024-10-22_20h28.58.841,WordPrimingExperiment,2024.1.5,None,2024-10-22 20h29.22.041799 +0530,
phone,,,,0,10,10,2,,,,,26.498972100031096,,26.476145100023132,26.498972100031096,26.498972100031096,,27.37352920003468,1.0185185185185186,0.8728477999684401,,,,,,,,,,,,,,,03,001,2024-10-22_20h28.58.841,WordPrimingExperiment,2024.1.5,None,2024-10-22 20h29.22.041799 +0530,
T-shirt,,,,0,11,11,7,,,,,27.407993200002238,,27.374174500000663,27.407993200002238,27.407993200002238,,28.439408500038553,1.0185185185185186,1.028386700025294,,,,,,,,,,,,,,,03,001,2024-10-22_20h28.58.841,WordPrimingExperiment,2024.1.5,None,2024-10-22 20h29.22.041799 +0530,
marble,,,,0,12,12,3,,,,,28.472889700031374,,28.439959999988787,28.472889700031374,28.472889700031374,,29.72205809998559,1.0185185185185186,1.246274999983143,,,,,,,,,,,,,,,03,001,2024-10-22_20h28.58.841,WordPrimingExperiment,2024.1.5,None,2024-10-22 20h29.22.041799 +0530,
case,,,,0,13,13,10,,,,,29.756168099993374,,29.7226340000052,29.756168099993374,29.756168099993374,,30.638266400026623,1.0185185185185186,0.8869103000033647,,,,,,,,,,,,,,,03,001,2024-10-22_20h28.58.841,WordPrimingExperiment,2024.1.5,None,2024-10-22 20h29.22.041799 +0530,
mouse,,,,0,14,14,8,,,,,30.663579799991567,,30.63876669999445,30.663579799991567,30.663579799991567,,31.6162266000174,1.0185185185185186,0.9492602999671362,,,,,,,,,,,,,,,03,001,2024-10-22_20h28.58.841,WordPrimingExperiment,2024.1.5,None,2024-10-22 20h29.22.041799 +0530,
,c_s_,case,old,,,,,0,0,0,5,31.644181000010576,,,,,,,,,31.623388700012583,31.644181000010576,31.644181000010576,31.644181000010576,0.012816700036637485,41.623515699990094,case,[],[],[],[],[],[],[],03,001,2024-10-22_20h28.58.841,WordPrimingExperiment,2024.1.5,None,2024-10-22 20h29.22.041799 +0530,
,bo_t_e,bottle,new,,,,,0,1,1,18,41.63998919998994,,,,,,,,,41.625652500020806,41.63998919998994,41.63998919998994,41.63998919998994,0.014129100018180907,51.631435099989176,bo,[],[],[],[],[],[],[],03,001,2024-10-22_20h28.58.841,WordPrimingExperiment,2024.1.5,None,2024-10-22 20h29.22.041799 +0530,
,p_s_ry,pastry,old,,,,,0,2,2,4,51.647120300040115,,,,,,,,,51.63230820000172,51.647120300040115,51.647120300040115,51.647120300040115,0.018817100033629686,57.12861710001016,pastry,[0.023148148148148147],[-0.287962962962963],[1],[0],[0],[5.492199299973436],['text_3'],03,001,2024-10-22_20h28.58.841,WordPrimingExperiment,2024.1.5,None,2024-10-22 20h29.22.041799 +0530,
,_a_bl_,marble,old,,,,,0,3,3,11,57.15114219998941,,,,,,,,,57.13007600000128,57.15114219998941,57.15114219998941,57.15114219998941,0.0050131999887526035,63.47065040003508,fable,[-0.01574074074074074],[-0.2861111111111111],[1],[0],[0],[6.335295400000177],['text_3'],03,001,2024-10-22_20h28.58.841,WordPrimingExperiment,2024.1.5,None,2024-10-22 20h29.22.041799 +0530,
,v_s_,vase,new,,,,,0,4,4,17,63.48570730001666,,,,,,,,,63.47117179998895,63.48570730001666,63.48570730001666,63.48570730001666,0.0037911999970674515,68.03343100001803,vase,[-0.005555555555555556],[-0.275],[1],[0],[0],[4.557726300030481],['text_3'],03,001,2024-10-22_20h28.58.841,WordPrimingExperiment,2024.1.5,None,2024-10-22 20h29.22.041799 +0530,
,p_li_e,police,old,,,,,0,5,5,7,68.04841580003267,,,,,,,,,68.03428200003691,68.04841580003267,68.04841580003267,68.04841580003267,0.00334689998999238,71.59716549998848,police,[-0.005555555555555556],[-0.2916666666666667],[1],[0],[0],[3.5588269000290893],['text_3'],03,001,2024-10-22_20h28.58.841,WordPrimingExperiment,2024.1.5,None,2024-10-22 20h29.22.041799 +0530,
,_o_rd,board,old,,,,,0,6,6,10,71.61797550000483,,,,,,,,,71.59845789999235,71.61797550000483,71.61797550000483,71.61797550000483,0.00439750001532957,81.60301650001202,,[],[],[],[],[],[],[],03,001,2024-10-22_20h28.58.841,WordPrimingExperiment,2024.1.5,None,2024-10-22 20h29.22.041799 +0530,
,k_y_,keys,old,,,,,0,7,7,8,81.6188488000189,,,,,,,,,81.60389030002989,81.6188488000189,81.6188488000189,81.6188488000189,0.008562700008042157,86.46650500001851,keys,[0.010185185185185186],[-0.30092592592592593],[1],[0],[0],[4.858869599993341],['text_3'],03,001,2024-10-22_20h28.58.841,WordPrimingExperiment,2024.1.5,None,2024-10-22 20h29.22.041799 +0530,
,c_m_ra,camera,new,,,,,0,8,8,19,86.49131310003577,,,,,,,,,86.4679988999851,86.49131310003577,86.49131310003577,86.49131310003577,0.006014999991748482,91.17872999998508,camera,[0.010185185185185186],[-0.30092592592592593],[1],[0],[0],[4.7038603000110015],['text_3'],03,001,2024-10-22_20h28.58.841,WordPrimingExperiment,2024.1.5,None,2024-10-22 20h29.22.041799 +0530,
,l_pt_p,laptop,old,,,,,0,9,9,0,91.19351579999784,,,,,,,,,91.17976580001414,91.19351579999784,91.19351579999784,91.19351579999784,0.0034372000372968614,96.3240736000007,laptop,[0.010185185185185186],[-0.30092592592592593],[1],[0],[0],[5.139909199962858],['text_3'],03,001,2024-10-22_20h28.58.841,WordPrimingExperiment,2024.1.5,None,2024-10-22 20h29.22.041799 +0530,
,_oo_,book,old,,,,,0,10,10,13,96.34785479999846,,,,,,,,,96.32544310000958,96.34785479999846,96.34785479999846,96.34785479999846,0.004460400028619915,102.30116710002767,book,[0.010185185185185186],[-0.30092592592592593],[1],[0],[0],[5.970518700021785],['text_3'],03,001,2024-10-22_20h28.58.841,WordPrimingExperiment,2024.1.5,None,2024-10-22 20h29.22.041799 +0530,
,p_st_r,poster,old,,,,,0,11,11,9,102.32278660003794,,,,,,,,,102.30235399998492,102.32278660003794,102.32278660003794,102.32278660003794,0.0050632000202313066,106.9305395000265,poster,[0.010185185185185186],[-0.30092592592592593],[1],[0],[0],[4.622355800005607],['text_3'],03,001,2024-10-22_20h28.58.841,WordPrimingExperiment,2024.1.5,None,2024-10-22 20h29.22.041799 +0530,
,_ha_t,chart,old,,,,,0,12,12,1,106.95339450001484,,,,,,,,,106.93205030000536,106.95339450001484,106.95339450001484,106.95339450001484,0.005523499974515289,111.69251329998951,chart,[0.010185185185185186],[-0.30092592592592593],[1],[0],[0],[4.754486299993005],['text_3'],03,001,2024-10-22_20h28.58.841,WordPrimingExperiment,2024.1.5,None,2024-10-22 20h29.22.041799 +0530,
,ta_l_,table,new,,,,,0,13,13,15,111.70753960002912,,,,,,,,,111.69307770003797,111.70753960002912,111.70753960002912,111.70753960002912,0.0021312999888323247,121.69857060001232,,[],[],[],[],[],[],[],03,001,2024-10-22_20h28.58.841,WordPrimingExperiment,2024.1.5,None,2024-10-22 20h29.22.041799 +0530,
,c_s_io_,cushion,old,,,,,0,14,14,14,121.71500140003627,,,,,,,,,121.69945680000819,121.71500140003627,121.71500140003627,121.71500140003627,0.009653599990997463,126.92833790002624,cushion,[-0.003703703703703704],[-0.30277777777777776],[1],[0],[0],[5.22479150001891],['text_3'],03,001,2024-10-22_20h28.58.841,WordPrimingExperiment,2024.1.5,None,2024-10-22 20h29.22.041799 +0530,
