study_word,test,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
laptop,,,,0,0,0,5,,,,,0.033599099959246814,,0.007387899910099804,0.033599099959246814,0.033599099959246814,2.607955899904482,1,2.577254300005734,,,,,,,,,,,,,,,04,001,2024-10-25_11h33.17.549,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h33.38.550700 +0530,
board,,,,0,1,1,4,,,,,2.627179899951443,,2.610874999896623,2.627179899951443,2.627179899951443,5.539211499970406,1.0222222222222221,2.9044396999524906,,,,,,,,,,,,,,,04,001,2024-10-25_11h33.17.549,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h33.38.550700 +0530,
cruise,,,,0,2,2,11,,,,,5.5560877999523655,,5.539519499987364,5.5560877999523655,5.5560877999523655,7.58672179991845,1.0222222222222221,2.0239022999303415,,,,,,,,,,,,,,,04,001,2024-10-25_11h33.17.549,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h33.38.550700 +0530,
pastry,,,,0,3,3,9,,,,,7.602246699971147,,7.58699469990097,7.602246699971147,7.602246699971147,9.085178999928758,1.0222222222222221,1.4763172999955714,,,,,,,,,,,,,,,04,001,2024-10-25_11h33.17.549,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h33.38.550700 +0530,
police,,,,0,4,4,12,,,,,9.09942709992174,,9.085400199983269,9.09942709992174,9.09942709992174,10.18411669996567,1.0222222222222221,1.0783729000249878,,,,,,,,,,,,,,,04,001,2024-10-25_11h33.17.549,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h33.38.550700 +0530,
book,,,,0,5,5,0,,,,,10.199183499906212,,10.184436599956825,10.199183499906212,10.199183499906212,11.249569899984635,1.0222222222222221,1.0438326000003144,,,,,,,,,,,,,,,04,001,2024-10-25_11h33.17.549,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h33.38.550700 +0530,
mouse,,,,0,6,6,8,,,,,11.263738899957389,,11.249783199978992,11.263738899957389,11.263738899957389,12.31554509990383,1.0222222222222221,1.045239400002174,,,,,,,,,,,,,,,04,001,2024-10-25_11h33.17.549,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h33.38.550700 +0530,
chart,,,,0,7,7,6,,,,,12.330722899991088,,12.315802600001916,12.330722899991088,12.330722899991088,13.364477999974042,1.0222222222222221,1.0266183000057936,,,,,,,,,,,,,,,04,001,2024-10-25_11h33.17.549,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h33.38.550700 +0530,
keys,,,,0,8,8,13,,,,,13.378926599980332,,13.364754699985497,13.378926599980332,13.378926599980332,14.313632599893026,1.0222222222222221,0.9278765000635758,,,,,,,,,,,,,,,04,001,2024-10-25_11h33.17.549,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h33.38.550700 +0530,
marble,,,,0,9,9,3,,,,,14.327032999950461,,14.313973399926908,14.327032999950461,14.327032999950461,15.163127699983306,1.0222222222222221,0.8276138000655919,,,,,,,,,,,,,,,04,001,2024-10-25_11h33.17.549,WordPrimingExperiment,2024.1.5,None,2024-10-25 11h33.38.550700 +0530,
