reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
27,50,21,0,0,0,2,0.07992650009691715,,0.011762500274926424,0.07992650009691715,1.0078243999741971,1.0078243999741971,1.092044800054282,2.4000099999830127,l,1.3679192997515202,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
78,80,162,0,1,1,6,2.411972400266677,,2.402158100157976,2.411972400266677,3.406199200078845,3.406199200078845,3.423513799905777,4.223489699885249,t,0.8031790000386536,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
49,60,89,0,2,2,4,4.238537100143731,,4.224043200258166,4.238537100143731,5.237465600017458,5.237465600017458,5.237465600017458,6.388719100039452,t,1.141387699637562,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
67,75,119,0,3,3,5,6.403028800152242,,6.389202199876308,6.403028800152242,7.4018063000403345,7.4018063000403345,7.4018063000403345,8.73547329986468,t,1.3194649000652134,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
15,35,13,0,4,4,1,8.751069699879736,,8.736084800213575,8.751069699879736,9.75301990006119,9.75301990006119,9.766531399916857,11.200426999945194,l,1.4344142000190914,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
11,30,7,0,5,5,0,11.216486600227654,,11.20114709995687,11.216486600227654,12.215203099884093,12.215203099884093,12.23171309987083,13.997185099869967,l,1.7736276001669466,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
40,55,62,0,6,6,3,14.013004899956286,,13.99766490003094,14.013004899956286,15.011902700178325,15.011902700178325,15.028158400207758,16.097266899887472,t,1.083465099800378,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
40,55,62,1,0,7,3,16.11159860016778,,16.097951699979603,16.11159860016778,17.11040770029649,17.11040770029649,17.12623819988221,17.810682999901474,t,0.6936151999980211,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
67,75,119,1,1,8,5,17.82543689990416,,17.811329300049692,17.82543689990416,18.82459959993139,18.82459959993139,18.82459959993139,19.825249399989843,t,0.9956030999310315,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
78,80,162,1,2,9,6,19.840921100229025,,19.825829000212252,19.840921100229025,20.840226100292057,20.840226100292057,20.840226100292057,21.474475500173867,t,0.6275649997405708,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
49,60,89,1,3,10,4,21.48885180009529,,21.474997600074857,21.48885180009529,22.488415800035,22.488415800035,22.488415800035,23.123314400203526,t,0.6271091001108289,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
15,35,13,1,4,11,1,23.138084600213915,,23.12397240009159,23.138084600213915,24.13701010029763,24.13701010029763,24.15294220019132,24.87106870021671,l,0.7205848000012338,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
27,50,21,1,5,12,2,24.885538400150836,,24.87155900010839,24.885538400150836,25.884761600289494,25.884761600289494,25.884761600289494,27.101817999966443,l,1.2050536000169814,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
11,30,7,1,6,13,0,27.116976600140333,,27.10231180023402,27.116976600140333,28.11614629998803,28.11614629998803,28.11614629998803,29.033742799889296,l,0.910408599767834,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
40,55,62,2,0,14,3,29.048641700297594,,29.03422400029376,29.048641700297594,30.048184200190008,30.048184200190008,30.048184200190008,30.915670699905604,t,0.8654749998822808,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
78,80,162,2,1,15,6,30.930915900040418,,30.916374099906534,30.930915900040418,31.929539000149816,31.929539000149816,31.946121000219136,32.67983550019562,t,0.7472291002050042,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
11,30,7,2,2,16,0,32.69533650018275,,32.68030579993501,32.69533650018275,33.695180899929255,33.695180899929255,33.71067090006545,34.39522839989513,l,0.6888784999027848,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
67,75,119,2,3,17,5,34.41008900012821,,34.39572639996186,34.41008900012821,35.40944440010935,35.40944440010935,35.40944440010935,36.34326949995011,t,0.9233179003931582,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
49,60,89,2,4,18,4,36.358669800218195,,36.343735800124705,36.358669800218195,37.35887200012803,37.35887200012803,37.35887200012803,43.520134900230914,t,6.150411000009626,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
27,50,21,2,5,19,2,43.535170200280845,,43.520566599909216,43.535170200280845,44.53402099991217,44.53402099991217,44.53402099991217,45.26763360016048,l,0.725814700126648,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
15,35,13,2,6,20,1,45.28358029993251,,45.26817260030657,45.28358029993251,46.28364340029657,46.28364340029657,46.28364340029657,47.39926639990881,l,1.099355099722743,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
49,60,89,3,0,21,4,47.415173300076276,,47.39983269991353,47.415173300076276,48.41447569988668,48.41447569988668,48.43048690026626,49.53327029990032,t,1.103441399987787,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
27,50,21,3,1,22,2,49.54950740002096,,49.53430420020595,49.54950740002096,50.54507800005376,50.54507800005376,50.561548199970275,52.06148030003533,l,1.507632799912244,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
11,30,7,3,2,23,0,52.077772200107574,,52.06198689993471,52.077772200107574,53.07653889991343,53.07653889991343,53.09274969995022,55.19256590027362,l,2.114241300150752,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
78,80,162,3,3,24,6,55.20782510004938,,55.19309289986268,55.20782510004938,56.20776750007644,56.20776750007644,56.20776750007644,57.85571110015735,t,1.6450763996690512,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
40,55,62,3,4,25,3,57.87138909986243,,57.85611280007288,57.87138909986243,58.85439079999924,58.85439079999924,58.872082700021565,60.38726040022448,t,1.5242444998584688,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
67,75,119,3,5,26,5,60.40283829998225,,60.38778669992462,60.40283829998225,61.4022002001293,61.4022002001293,61.4022002001293,62.45170750003308,t,1.0384689001366496,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
15,35,13,3,6,27,1,62.4679721002467,,62.452284700237215,62.4679721002467,63.467050299979746,63.467050299979746,63.482897200156,64.56940810009837,l,1.0922520002350211,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
27,50,21,4,0,28,2,64.58153179986402,,64.56983709987253,64.58153179986402,65.58104790002108,65.58104790002108,65.58104790002108,66.33244460029528,l,0.7453311001881957,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
49,60,89,4,1,29,4,66.34691850002855,,66.3329390999861,66.34691850002855,67.34615890029818,67.34615890029818,67.34615890029818,68.19708329997957,t,0.8363018999807537,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
78,80,162,4,2,30,6,68.21177110029384,,68.19761419994757,68.21177110029384,69.21104010008276,69.21104010008276,69.21104010008276,70.69437299994752,t,1.4781587002798915,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
11,30,7,4,3,31,0,70.70935510005802,,70.69489399995655,70.70935510005802,71.70868830010295,71.70868830010295,71.70868830010295,72.40998600004241,l,0.6852580001577735,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
40,55,62,4,4,32,3,72.42555959988385,,72.41062760027125,72.42555959988385,73.42476169997826,73.42476169997826,73.44127569999546,74.30639109993353,t,0.8722728998400271,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
15,35,13,4,5,33,1,74.3225449998863,,74.30680610006675,74.3225449998863,75.32234210008755,75.32234210008755,75.33809489989653,76.53871160000563,l,1.2128796000033617,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
67,75,119,4,6,34,5,76.55451859999448,,76.53923510015011,76.55451859999448,77.55398559989408,77.55398559989408,77.55398559989408,78.32102760020643,t,0.7612479999661446,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
49,60,89,5,0,35,4,78.335706199985,,78.32150339987129,78.335706199985,79.33473009988666,79.33473009988666,79.33473009988666,79.96886959997937,t,0.6249045999720693,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
40,55,62,5,1,36,3,79.98462609993294,,79.96939280023798,79.98462609993294,80.96838909992948,80.96838909992948,80.98601459991187,81.68522730004042,t,0.7075784998014569,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
67,75,119,5,2,37,5,81.69970689993352,,81.68591669993475,81.69970689993352,82.69893469987437,82.69893469987437,82.69893469987437,83.43362110015005,t,0.7317122002132237,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
15,35,13,5,3,38,1,83.44889870006591,,83.43430719990283,83.44889870006591,84.44765389990062,84.44765389990062,84.46340750018135,84.93093649996445,t,0.4683936000801623,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
27,50,21,5,4,39,2,84.94712760020047,,84.93140379991382,84.94712760020047,85.9482145998627,85.9482145998627,85.96207479992881,87.32872040010989,l,1.3708489001728594,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
